Designator,Mid X,Mid Y,Layer,Rotation
C2,115.63,-82.67,top,0
C4,122.26,-82.23,top,-90
C5,122.57,-100.87,top,90
C6,121.6,-100.87,top,90
C7,115.63,-81.6,top,0
C8,115.47,-95.96,top,0
C9,115.09,-97.45,top,-90
C10,116.15,-84.18,top,-90
C11,114.99,-94.49,top,90
C12,122.25,-84.22,top,-90
C13,116.03,-94.48,top,90
C14,115.09,-84.18,top,-90
C15,123.09,-97.8,top,-90
C16,123.57,-100.87,top,90
C17,115.1,-99.4,top,90
C18,116.86,-97.22,top,0
J1,121.04,-107.105,top,0
J2,124.634262,-93.762297,top,180
R1,122.09,-97.8,top,90
R2,121.08,-98.89,top,90
R3,120.06,-98.89,top,90
R4,115.1,-101.34,top,-90
R5,126.66,-101.34,top,-90
R25,125.06,-100.39,top,180
R27,125.07,-99.37,top,0
U2,120.57,-95.31,top,90
U3,118.67,-89.3175,top,180
U4,117.7002,-99.90205,top,0
Y1,119.26,-83,top,0
