Comment;Designator;Footprint
0.1uF;C13,C11,C7,C10,C14,C6,C12,C5,C16,C15;C_0402_1005Metric
AP2112K-3.3TRG1;U4;SOT-25-5_L2.9-W1.6-P0.95-LS2.8-BL
10k;R1;R_0402_1005Metric
30pF;C2,C4;C_0402_1005Metric
W25Q16JVUXIQ;U2;USON8_L2.0-W3.0-P0.50-BL-EP
Conn_02x07_Odd_Even;J2;PinSocket_2x07_P2.00mm_Horizontal
1uF;C18,C17,C9,C8;C_0402_1005Metric
RP2040;U3;QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm
12MHz;Y1;OSC-SMD_4P-L3.2-W2.5-BL
5.1k;R4,R5;R_0402_1005Metric
33;R3,R2;R_0402_1005Metric
4.7K;R27,R25;R_0402_1005Metric
USB_C_Receptacle_USB2.0;J1;USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal
