Ref,Val,Package,PosX,PosY,Rot,Side
"J2","Conn_02x07_Odd_Even","PinSocket_2x07_P2.00mm_Horizontal",124.635000,-81.725000,180.000000,bottom
"SW2","GT-TC029B-H025-L1N","SW_CS1213AGF260_CRS",119.075000,-97.300000,0.000000,bottom
"SW3","GT-TC029B-H025-L1N","SW_CS1213AGF260_CRS",119.075000,-90.625000,0.000000,bottom
"C2","30pF","C_0402_1005Metric",115.630000,-82.670000,0.000000,top
"C4","30pF","C_0402_1005Metric",122.050000,-82.230000,-90.000000,top
"C5","0.1uF","C_0402_1005Metric",122.570000,-100.870000,90.000000,top
"C6","0.1uF","C_0402_1005Metric",121.575000,-100.870000,90.000000,top
"C7","0.1uF","C_0402_1005Metric",115.630000,-81.600000,0.000000,top
"C8","1uF","C_0402_1005Metric",115.470000,-95.960000,0.000000,top
"C9","1uF","C_0402_1005Metric",115.090000,-97.450000,-90.000000,top
"C10","0.1uF","C_0402_1005Metric",116.150000,-84.180000,-90.000000,top
"C11","0.1uF","C_0402_1005Metric",114.990000,-94.490000,90.000000,top
"C12","0.1uF","C_0402_1005Metric",122.050000,-84.220000,-90.000000,top
"C13","0.1uF","C_0402_1005Metric",116.030000,-94.480000,90.000000,top
"C14","0.1uF","C_0402_1005Metric",115.090000,-84.180000,-90.000000,top
"C15","0.1uF","C_0402_1005Metric",123.090000,-98.895000,-90.000000,top
"C16","0.1uF","C_0402_1005Metric",123.570000,-100.870000,90.000000,top
"C17","1uF","C_0402_1005Metric",115.090000,-99.395000,90.000000,top
"C18","1uF","C_0402_1005Metric",116.860000,-97.220000,0.000000,top
"J1","USB_C_Receptacle_USB2.0","USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal",122.075000,-107.105000,0.000000,top
"R1","10k","R_0402_1005Metric",122.090000,-98.895000,90.000000,top
"R2","33","R_0402_1005Metric",121.080000,-98.890000,90.000000,top
"R3","33","R_0402_1005Metric",120.060000,-98.890000,90.000000,top
"R4","5.1k","R_0402_1005Metric",115.090000,-101.340000,-90.000000,top
"R5","5.1k","R_0402_1005Metric",126.660000,-101.340000,-90.000000,top
"R6","1k","R_0402_1005Metric",122.565000,-97.250000,0.000000,top
"R7","49.9k","R_0402_1005Metric",123.125000,-84.190000,-90.000000,top
"R25","4.7K","R_0402_1005Metric",126.238000,-97.282000,180.000000,top
"R27","4.7K","R_0402_1005Metric",126.238000,-96.012000,0.000000,top
"U1","SK6812","LED-SMD_4P-L4.0-W1.6-L",116.175000,-108.050000,-90.000000,top
"U2","W25Q16JVUXIQ","USON8_L2.0-W3.0-P0.50-BL-EP",120.570000,-95.310000,90.000000,top
"U3","RP2040","QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm",118.670000,-89.317500,180.000000,top
"U4","AP2112K-3.3TRG1","SOT-25-5_L2.9-W1.6-P0.95-LS2.8-BL",117.700200,-99.902050,0.000000,top
"Y1","12MHz","OSC-SMD_4P-L3.2-W2.5-BL",119.260000,-83.000000,0.000000,top
